"('face', 0.9891231060028076, (341.5588684082031, 363.040771484375, 76.56600189208984, 96.9840316772461))","('map', 0.9379370808601379, (1207.8699951171875, 261.8935852050781, 136.0433349609375, 233.58433532714844))","('dice', 0.9169542789459229, (603.2425537109375, 141.51817321777344, 72.63296508789062, 113.90257263183594))","('key', 0.7950002551078796, (897.2203979492188, 174.5393829345703, 126.34391784667969, 67.84020233154297))","('ball', 0.5764858722686768, (264.0543518066406, 627.2685546875, 92.70638275146484, 81.09503936767578))"
"('face', 0.9789275527000427, (341.3150634765625, 362.83563232421875, 77.67686462402344, 100.14511108398438))","('map', 0.9419254064559937, (1207.77587890625, 261.5054931640625, 136.84280395507812, 231.0885467529297))","('dice', 0.9213962554931641, (601.9365844726562, 135.37844848632812, 63.49094772338867, 111.74040985107422))","('key', 0.8205247521400452, (898.0188598632812, 173.74070739746094, 128.9302215576172, 66.88634490966797))","('ball', 0.572666585445404, (263.0547790527344, 627.0401000976562, 92.02986907958984, 81.97087097167969))"
"('face', 0.9754493832588196, (341.75433349609375, 362.6804504394531, 76.69696807861328, 102.31371307373047))","('dice', 0.9410390853881836, (602.4505615234375, 134.96859741210938, 63.150848388671875, 111.06047821044922))","('map', 0.9342421889305115, (1208.19140625, 261.4892272949219, 136.7760009765625, 229.6263427734375))","('key', 0.8634741902351379, (897.7224731445312, 172.76251220703125, 129.30850219726562, 66.54429626464844))","('ball', 0.602938175201416, (262.70428466796875, 625.997314453125, 91.61514282226562, 81.05545043945312))"
"('face', 0.9750930666923523, (340.80706787109375, 356.2646789550781, 81.70332336425781, 99.29302978515625))","('dice', 0.9534831047058105, (602.6166381835938, 134.11019897460938, 64.14533233642578, 112.6030502319336))","('map', 0.9403935670852661, (1209.9732666015625, 259.1534118652344, 136.64248657226562, 231.76657104492188))","('key', 0.8197216987609863, (898.1246948242188, 172.34922790527344, 127.00885009765625, 66.57679748535156))","('ball', 0.6288010478019714, (262.8063659667969, 625.9746704101562, 90.87998962402344, 81.35282897949219))"
"('face', 0.9824783205986023, (341.1865234375, 355.4443359375, 81.70332336425781, 98.4842529296875))","('dice', 0.9541157484054565, (602.6959228515625, 133.4661407470703, 64.61686706542969, 114.86601257324219))","('map', 0.9494431614875793, (1210.9105224609375, 257.8573303222656, 136.50912475585938, 231.201416015625))","('key', 0.6966445446014404, (897.6707763671875, 171.553466796875, 127.73963165283203, 66.5280532836914))","('ball', 0.5897731781005859, (263.1252746582031, 625.1092529296875, 91.9400405883789, 80.15025329589844))"
"('face', 0.9849738478660583, (341.0726623535156, 354.8221435546875, 82.90895080566406, 97.37847900390625))","('dice', 0.9519264698028564, (602.3897705078125, 132.05740356445312, 67.48683166503906, 115.45643615722656))","('map', 0.9517027735710144, (1211.16259765625, 256.8971252441406, 136.44247436523438, 231.99301147460938))","('key', 0.6675205826759338, (897.43115234375, 170.80731201171875, 125.882080078125, 66.2040023803711))","('ball', 0.6468465328216553, (263.6282653808594, 625.162109375, 93.8449935913086, 79.69172668457031))"
"('face', 0.9869182705879211, (340.7239074707031, 354.75189208984375, 84.23514556884766, 99.13861083984375))","('map', 0.9505094289779663, (1209.015380859375, 255.234375, 136.10977172851562, 232.21966552734375))","('dice', 0.9492592215538025, (602.1744384765625, 131.853271484375, 66.08464813232422, 114.55793762207031))","('ball', 0.7016586661338806, (263.5732727050781, 624.7506713867188, 94.39647674560547, 79.56536102294922))","('key', 0.6106694936752319, (897.3633422851562, 170.14913940429688, 125.20012664794922, 68.63987731933594))"
"('face', 0.9842692613601685, (339.20654296875, 354.4375915527344, 84.0707778930664, 96.945556640625))","('map', 0.9683666825294495, (1210.230712890625, 255.0310821533203, 135.91053771972656, 241.70619201660156))","('dice', 0.9256715774536133, (601.9365844726562, 131.52352905273438, 68.34906005859375, 114.57192993164062))","('ball', 0.748304009437561, (265.369384765625, 624.06005859375, 96.77668762207031, 78.17897033691406))","('key', 0.5234466791152954, (896.8970336914062, 169.80807495117188, 123.71884155273438, 67.5262451171875))"
"('face', 0.9871239066123962, (338.3165283203125, 354.266357421875, 83.15220642089844, 99.39611053466797))","('dice', 0.963920533657074, (600.9888305664062, 131.6145477294922, 68.3156967163086, 113.55550384521484))","('map', 0.9612443447113037, (1209.0928955078125, 255.8783416748047, 136.0433349609375, 236.56866455078125))","('ball', 0.7512381672859192, (263.6392822265625, 623.5409545898438, 97.54762268066406, 77.86466979980469))","('key', 0.513471245765686, (896.7015380859375, 169.7252655029297, 123.8397216796875, 67.69129943847656))"
"('face', 0.9906924962997437, (336.701416015625, 354.84674072265625, 83.39617919921875, 96.09722900390625))","('dice', 0.9645829796791077, (599.83154296875, 132.1720733642578, 69.44235229492188, 112.71307373046875))","('map', 0.9575880765914917, (1208.9769287109375, 257.42156982421875, 136.97650146484375, 234.3840789794922))","('ball', 0.748306393623352, (263.2122802734375, 623.7295532226562, 95.4043197631836, 79.13915252685547))","('key', 0.6134700775146484, (895.8006591796875, 169.39578247070312, 124.2258071899414, 68.2388687133789))"
