world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3330.05057,1512,1,0.316711826,0.307426341,3330.051525-0 3330.049615-1,,,,,,,,,,,,,,,
3330.054605,1512,0.983356889,0.316613879,0.307406557,3330.051525-0 3330.057685-1,,,,,,,,,,,,,,,
3330.058641,1512,0.983356889,0.317196759,0.304762296,3330.059596-0 3330.057685-1,,,,,,,,,,,,,,,
3330.062676,1512,1,0.316779059,0.303487609,3330.059596-0 3330.065756-1,,,,,,,,,,,,,,,
3330.066711,1512,1,0.31685109,0.306621535,3330.067666-0 3330.065756-1,,,,,,,,,,,,,,,
3330.070746,1513,0.952070947,0.317170264,0.307181048,3330.067666-0 3330.073826-1,,,,,,,,,,,,,,,
3330.074781,1513,0.952070947,0.316019088,0.305526521,3330.075736-0 3330.073826-1,,,,,,,,,,,,,,,
3330.078816,1513,0.995532817,0.315706897,0.306406781,3330.075736-0 3330.081896-1,,,,,,,,,,,,,,,
3330.082851,1513,0.995532817,0.314880554,0.306523901,3330.083806-0 3330.081896-1,,,,,,,,,,,,,,,
3330.086886,1513,0.984253965,0.315058884,0.306192139,3330.083806-0 3330.089966-1,,,,,,,,,,,,,,,
3330.090921,1513,0.984253965,0.315537195,0.307317149,3330.091876-0 3330.089966-1,,,,,,,,,,,,,,,
3330.094956,1513,0.967085829,0.315189922,0.307158851,3330.091876-0 3330.098036-1,,,,,,,,,,,,,,,
3330.098991,1513,0.95142209,0.315239572,0.306751111,3330.099946-0 3330.098036-1,,,,,,,,,,,,,,,
3330.103026,1513,0.956350508,0.315234374,0.306529794,3330.099946-0 3330.106106-1,,,,,,,,,,,,,,,
3330.107062,1514,0.972014248,0.314819443,0.305362633,3330.108017-0 3330.106106-1,,,,,,,,,,,,,,,
3330.111097,1514,0.981246701,0.315048482,0.305930579,3330.108017-0 3330.114176-1,,,,,,,,,,,,,,,
3330.115131,1514,0.981246701,0.315193852,0.308167495,3330.116087-0 3330.114176-1,,,,,,,,,,,,,,,
3330.119167,1514,0.966098437,0.315134681,0.308598768,3330.116087-0 3330.122247-1,,,,,,,,,,,,,,,
3330.123202,1514,0.966098437,0.315019382,0.308013408,3330.124157-0 3330.122247-1,,,,,,,,,,,,,,,
3330.127237,1514,0.996786339,0.314788843,0.30722555,3330.124157-0 3330.130317-1,,,,,,,,,,,,,,,
3330.131272,1514,0.996786339,0.315651708,0.3059231,3330.132227-0 3330.130317-1,,,,,,,,,,,,,,,
3330.135307,1514,0.99669477,0.315633452,0.306337537,3330.132227-0 3330.138387-1,,,,,,,,,,,,,,,
3330.139342,1515,0.99669477,0.315168321,0.306945493,3330.140297-0 3330.138387-1,,,,,,,,,,,,,,,
3330.143377,1515,0.969586678,0.315161025,0.307064989,3330.140297-0 3330.146457-1,,,,,,,,,,,,,,,
3330.147412,1515,0.969586678,0.314205575,0.306364258,3330.148367-0 3330.146457-1,,,,,,,,,,,,,,,
3330.151447,1515,0.948539408,0.314240859,0.305788185,3330.148367-0 3330.154527-1,,,,,,,,,,,,,,,
3330.155482,1515,0.948539408,0.314564234,0.305017612,3330.156437-0 3330.154527-1,,,,,,,,,,,,,,,
3330.159517,1515,0.975769064,0.314359526,0.30475123,3330.156437-0 3330.162597-1,,,,,,,,,,,,,,,
3330.163553,1515,0.975769064,0.313935779,0.303657907,3330.164508-0 3330.162597-1,,,,,,,,,,,,,,,
3330.167588,1515,0.985826265,0.313625264,0.303004524,3330.164508-0 3330.170668-1,,,,,,,,,,,,,,,
3330.171623,1516,0.985826265,0.313283102,0.305424335,3330.172578-0 3330.170668-1,,,,,,,,,,,,,,,
3330.175658,1516,1,0.313404219,0.306434842,3330.172578-0 3330.178738-1,,,,,,,,,,,,,,,
3330.179693,1516,1,0.313702629,0.306244821,3330.180648-0 3330.178738-1,,,,,,,,,,,,,,,
3330.183728,1516,0.961616748,0.313262599,0.306564901,3330.180648-0 3330.186808-1,,,,,,,,,,,,,,,
3330.187763,1516,0.961616748,0.313070739,0.305668617,3330.188718-0 3330.186808-1,,,,,,,,,,,,,,,
3330.191798,1516,0.93531774,0.313220465,0.30537882,3330.188718-0 3330.194878-1,,,,,,,,,,,,,,,
3330.195833,1516,0.93531774,0.312409388,0.305015423,3330.196788-0 3330.194878-1,,,,,,,,,,,,,,,
3330.199868,1516,0.998829313,0.312671098,0.305081367,3330.196788-0 3330.202948-1,,,,,,,,,,,,,,,
3330.203903,1517,0.998829313,0.312925403,0.305098422,3330.204858-0 3330.202948-1,,,,,,,,,,,,,,,
